SiteId,Site_Name,Site_Brand,Sites_Address_Line_1,Site_Suburb,Site_State,Site_Post_Code,Site_Latitude,Site_Longitude
61291313,Lowes Mungindi Opt,BP,126 Barwon Street,Mungindi,QLD,4497,-28.973467,148.983829
61401007,7-Eleven Coomera,7 Eleven,Pacific Highway,Coomera,QLD,4209,-27.868591,153.314206
61401008,EG Ampol Oxenford,EG Ampol,116 Old Pacific Highway,Oxenford,QLD,4210,-27.891217,153.313369
61401010,Coles Express Nerang,Coles Express,6-8 Ferry Street,Nerang,QLD,4211,-27.990022,153.337183
61401011,Ampol Foodary Nerang South,Ampol,Cnr Pappas Wy West & Hinkler Dr,South Nerang,QLD,4211,-28.007074,153.341476
61401013,Caltex Broadbeach Waters,Caltex,75 T E Peters Drive,Broadbeach Waters,QLD,4218,-28.026556,153.420502
61401014,7-Eleven Broadbeach,7 Eleven,Hooker Boulevard,Broadbeach,QLD,4218,-28.035598,153.425197
61401015,Ampol Foodary Mudgeeraba,Ampol,24 Railway Street,Mudgeeraba,QLD,4213,-28.074595,153.364051
61401017,Ampol Foodary Reedy Creek South,Ampol,2 Penny Lane,Reedy Creek,QLD,4227,-28.105063,153.406318
61401019,Freedom Fuels Varsity Lakes,Freedom Fuels,Mattocks Road,Burleigh Waters,QLD,4220,-28.099588,153.419209
61401020,Ampol Foodary Coomera,Ampol,22 Heathwood Drive,Coomera,QLD,4209,-27.874552,153.312607
61401023,EG Ampol Runaway Bay,EG Ampol,10 Lae Drive,Runaway Bay,QLD,4216,-27.912733,153.401728
61401024,7-Eleven Runaway Bay,7 Eleven,20 Bayview Street,Anglers Paradise,QLD,4216,-27.923554,153.403729
61401025,Ampol Foodary Labrador North,Ampol,150 Brisbane Road,Labrador North,QLD,4215,-27.934921,153.391093
61401029,Caltex Southport,Caltex,168 Marine Parade,Southport,QLD,4215,-27.956875,153.409288
61401030,Metro Nerang,Metro Fuel,2 Spencer Road,Nerang,QLD,4211,-27.997105,153.340534
61401033,Coles Express Yatala,Coles Express,Henry Hester Drv (Cnr Macpherson Rd),Yatala North,QLD,4207,-27.729037,153.224248
61401035,BP Johnston Street,BP,69 Johnston Street,Southport,QLD,4215,-27.965182,153.403819
61401038,Southport Metro,Metro Fuel,174 Nerang Street,Southport,QLD,4215,-27.974149,153.402703
61401039,Coles Express Southport,Coles Express,34 Ferry Road,Southport,QLD,4215,-27.974923,153.410962
61401044,BP Ashmore Village,BP,170 Cotlew Street,Ashmore,QLD,4214,-27.986935,153.382198
61401046,Coles Express Benowa,Coles Express,Ashmore Rd (Cnr Glyn St),Benowa,QLD,4217,-28.010329,153.392638
61401047,BP Benowa,BP,133 Ashmore Road,Benowa,QLD,4217,-28.008889,153.398266
61401051,7-Eleven Surfers Paradise,7 Eleven,94-102 Ferny Avenue,Surfers Paradise,QLD,4217,-27.995512,153.427447
61401053,Coles Express Surfers Paradise,Coles Express,2824 Gold Coast Hwy (Cnr Monaco St),Surfers Paradise,QLD,4217,-28.017376,153.428851
61401054,Ampol Foodary Broadbeach,Ampol,2745 Gold Coast Highway,Broadbeach,QLD,4218,-28.025296,153.429391
61401057,Coles Express Miami,Coles Express,2142 Gold Coast Highway,Miami,QLD,4220,-28.063906,153.437638
61401061,Pearl Energy Southport,Pearl Energy,519 Olsen Avenue,Ashmore,QLD,4214,-27.976259,153.381097
61401062,7-Eleven Ashmore,7 Eleven,400 Nerang Road,Ashmore,QLD,4214,-27.978835,153.379636
61401064,7-Eleven Palm Beach,7 Eleven,1186 Gold Coast Highway,Palm Beach,QLD,4221,-28.118293,153.470626
61401067,BP Tugun,BP,468 Golden Four Drive,Tugun,QLD,4224,-28.142809,153.493285
61401068,Coles Express Tugun,Coles Express,Gold Coast Hwy (Cnr Toolona & Maud St),Tugun,QLD,4224,-28.143715,153.493459
61401080,Caltex Tugun,Caltex,502 Gold Coast Highway,Tugun,QLD,4224,-28.141513,153.491401
61401083,Caltex Miami,Caltex,2133 Gold Coast Highway,Miami,QLD,4220,-28.065949,153.439777
61401090,Brians Auto Centre Miami,Independent,2064 Gold Coast Highway,Miami,QLD,4220,-28.068655,153.441223
61401092,BP Connect Oxenford,BP,5 Old Pacific Highway,Oxenford,QLD,4210,-27.897019,153.313735
61401094,BP Connect Labrador,BP,118 Frank Street,Labrador,QLD,4215,-27.945979,153.408193
61401106,BP Newstead,BP,20 Commercial Road,Fortitude Valley,QLD,4006,-27.452674,153.041797
61401110,BP Connect Blacksoil,BP,1420 Warrego Highway,Blacksoil,QLD,4306,-27.579076,152.712895
61401117,Liberty Highgate Hill,Liberty,22 Gladstone Road,Highgate Hill,QLD,4101,-27.484021,153.020149
61401118,7-Eleven East Brisbane,7 Eleven,Vulture Street,East Brisbane,QLD,4169,-27.484873,153.039928
61401119,BP East Brisbane,BP,41-49 Lytton Road,East Brisbane,QLD,4169,-27.479356,153.043756
61401124,Ampol Foodary Woolloongabba,Ampol,118 Logan Road,Woolloongabba,QLD,4102,-27.490813,153.040273
61401126,BP Milton,BP,119 Milton Road,Milton,QLD,4064,-27.467608,153.007624
61401128,Coles Express Balmoral,Coles Express,209 Oxford St (Cnr Hawthorne Rd),Bulimba,QLD,4171,-27.452107,153.061984
61401131,Shell Hawthorne,Shell,1 Hawthorne Rd,Hawthorne,QLD,4171,-27.472326,153.059433
61401132,BP Stanley Street East,BP,979 Stanley Street East,East Brisbane,QLD,4169,-27.488536,153.047515
61401134,Ampol Foodary Camp Hill,Ampol,424 Old Cleveland Road,Camp Hill,QLD,4152,-27.491818,153.064933
61401136,Caltex Norman Park,Caltex,164 Bennetts Road,Norman Park,QLD,4170,-27.483739,153.063778
61401137,Freedom Fuels Seven Hills,Freedom Fuels,184 Oateson Skyline Drive,Seven Hills,QLD,4170,-27.479218,153.071074
61401138,Coles Express Camp Hill,Coles Express,720 Old Cleveland Rd (Cnr Arrol St),Camp Hill,QLD,4152,-27.492841,153.082504
61401140,Puma Morningside,Puma Energy,"24 Junction Rd, Morningside QLD 4170, Australia",Morningside,QLD,4170,-27.466443,153.078375
61401142,Ampol Foodary Colmslie,Ampol,780 Wynnum Road,Colmslie,QLD,4170,-27.466603,153.079078
61401147,BP Cannon Hill,BP,1069 Wynnum Road,Cannon Hill,QLD,4170,-27.469726,153.095734
61401148,Coles Express Cannon Hill,Coles Express,1874 Creek Rd (Cnr Pickwick St),Cannon Hill,QLD,4170,-27.471499,153.095659
61401149,Shell Reddy Express Tingalpa,Reddy Express,1469 Wynnum Road,Tingalpa,QLD,4173,-27.474727,153.121105
61401150,BP Tingalpa,BP,Cnr Manly & Wynnum Roads,Tingalpa,QLD,4173,-27.474496,153.130045
61401153,BP Express Carindale,BP,Creek Road,Carindale,QLD,4152,-27.495349,153.101632
61401155,Ampol Foodary Carindale,Ampol,1055 Creek Rd Cnr Winstanley St,Carindale,QLD,4152,-27.505705,153.099826
61401156,Freedom Fuels Thorneside,Freedom Fuels,187-191 Quarry Road,Thorneside,QLD,4158,-27.488737,153.194962
61401157,EG Ampol Birkdale,EG Ampol,118 Birkdale Road,Birkdale,QLD,4159,-27.494911,153.212962
61401159,BP Wellington Point,BP,Birkdale Road,Wellington Point,QLD,4160,-27.486922,153.238363
61401160,BP Cleveland,BP,3 Gordon Street,Cleveland,QLD,4163,-27.524107,153.258559
61401166,BP Connect Plaza,BP,935 Moggill Road,Kenmore,QLD,4069,-27.508087,152.946646
61401167,Ampol Foodary Kenmore,Ampol,888 Moggill Road,Kenmore,QLD,4069,-27.507892,152.948335
61401170,Coles Express Chapel Hill,Coles Express,"611 Moggill Rd, Chapel Hill QLD 4069, Australia",Chapel Hill,QLD,4069,-27.50495,152.960608
61401171,BP Moggill Road,BP,318 Moggill Road,Indooroopilly,QLD,4068,-27.497542,152.973688
61401172,Coles Express Taringa,Coles Express,29 Gailey Road,St Lucia,QLD,4067,-27.491569,152.994049
61401173,BP Indooroopilly,BP,71 Coonan Street,Indooroopilly,QLD,4068,-27.49952,152.97558
61401177,7-Eleven Graceville,7 Eleven,246 Oxley Road,Graceville,QLD,4075,-27.522091,152.980174
61401180,United Sherwood,United,624 Sherwood Road,Sherwood,QLD,4075,-27.532891,152.983297
61401183,Ampol Foodary Annerley,Ampol,534 Ipswich Road,Annerley,QLD,4103,-27.512206,153.031924
61401185,7-Eleven Fairfield Gardens,7 Eleven,180 Fairfield Road,Fairfield,QLD,4103,-27.508669,153.025279
61401188,7-Eleven Yeronga,7 Eleven,563 Fairfield Road,Yeronga,QLD,4104,-27.519475,153.015205
61401189,7-Eleven Moorvale,7 Eleven,841 Ipswich Road,Moorooka,QLD,4105,-27.523933,153.023548
61401195,EG Ampol Moorooka,EG Ampol,345 Beaudesert Road,Moorooka,QLD,4105,-27.539587,153.021982
61401197,Ampol Foodary Rocklea,Ampol,117 Sherwood Road,Rocklea,QLD,4106,-27.538741,153.005512
61401199,BP Stones Corner,BP,87 Cleveland Street,Greenslopes,QLD,4120,-27.502423,153.045424
61401200,7-Eleven Greenslopes,7 Eleven,99 Juliette Street,Greenslopes,QLD,4120,-27.504472,153.040309
61401206,U-Go Park Ridge,U-Go,3726-3730 Mt Lindesay Highway,Park Ridge,QLD,4125,-27.696775,153.038071
61401210,NightOwl BP Holland Park,BP,Cnr Cavendish and Holland Rds,Holland Park,QLD,4121,-27.515107,153.072619
61401212,Coles Express Logan Rd,Coles Express,1201 Logan Road,Mount Gravatt,QLD,4122,-27.529957,153.071863
61401218,Liberty Deception Bay,Liberty,555 Deception Bay Road,Deception Bay,QLD,4508,-27.199318,153.032188
61401221,BP Kallangur,BP,1568 Anzac Avenue,Kallangur,QLD,4503,-27.247219,153.007783
61401223,EG Ampol Rothwell,EG Ampol,759 -761 Deception Bay Road,Rothwell,QLD,4022,-27.214084,153.047251
61401224,Ampol Foodary Kippa-Ring,Ampol,Anzac Avenue,Kippa-Ring,QLD,4021,-27.226726,153.084982
61401225,Metro Clontarf,Metro Fuel,267 Elizabeth Avenue,Clontarf,QLD,4019,-27.241009,153.086692
61401227,Caltex Redcliffe,Caltex,493 Oxley Road,Redcliffe,QLD,4020,-27.222121,153.110869
61401228,7-Eleven Redcliffe,7 Eleven,77 Anzac Avenue,Redcliffe,QLD,4020,-27.230464,153.109207
